tract,race,med_income
Census Tract 1.01; Queens County; New York,White,124885
Census Tract 196; Kings County; New York,Asian,82500
Census Tract 196; New York County; New York,Hispanic,21967
Census Tract 196; Queens County; New York,Black,89808
Census Tract 197.01; New York County; New York,White,49336
Census Tract 197.02; New York County; New York,Black,97981
Census Tract 197; Bronx County; New York,Hispanic,34871
Census Tract 197; Kings County; New York,White,114191
Census Tract 197; Richmond County; New York,White,113220
Census Tract 198; Kings County; New York,Asian,81719
Census Tract 198; New York County; New York,Black,96771
Census Tract 198; Queens County; New York,Black,75625
Census Tract 198; Richmond County; New York,White,122321
Census Tract 199.01; Queens County; New York,Hispanic,53958
Census Tract 199.02; Queens County; New York,Black,NA
Census Tract 199; Bronx County; New York,Hispanic,35139
Census Tract 199; Kings County; New York,White,123107
Census Tract 199; New York County; New York,White,95313
Census Tract 1; Bronx County; New York,Black,NA
Census Tract 1; Kings County; New York,White,165188
Census Tract 2.01; New York County; New York,Hispanic,45582
Census Tract 2.02; New York County; New York,Hispanic,34710
Census Tract 20.01; Bronx County; New York,Hispanic,24684
Census Tract 20.01; Richmond County; New York,White,76557
Census Tract 20.02; Bronx County; New York,Hispanic,NA
Census Tract 20.02; Richmond County; New York,White,79333
Census Tract 200; Bronx County; New York,Hispanic,46021
Census Tract 200; Kings County; New York,Asian,91750
Census Tract 200; New York County; New York,Black,70150
Census Tract 201.01; New York County; New York,White,151667
Census Tract 201.02; New York County; New York,Black,75721
Census Tract 201; Bronx County; New York,Hispanic,37433
Census Tract 201; Kings County; New York,White,142589
Census Tract 201; Richmond County; New York,White,127721
Census Tract 202; Bronx County; New York,Hispanic,53651
Census Tract 202; Kings County; New York,White,87917
Census Tract 202; Queens County; New York,Black,77440
Census Tract 203; Kings County; New York,White,191083
Census Tract 203; New York County; New York,White,63819
Census Tract 204; Bronx County; New York,Hispanic,59138
Census Tract 204; Kings County; New York,White,95855
Census Tract 204; Queens County; New York,Hispanic,61433
Census Tract 205.01; Bronx County; New York,Hispanic,17056
Census Tract 205.02; Bronx County; New York,Hispanic,28510
Census Tract 205; Kings County; New York,White,149643
Census Tract 205; New York County; New York,White,209667
Census Tract 205; Queens County; New York,Hispanic,64583
Census Tract 206.01; Bronx County; New York,Hispanic,55648
Census Tract 206; Kings County; New York,White,95104
Census Tract 206; New York County; New York,Black,48161
Census Tract 206; Queens County; New York,Hispanic,75114
Census Tract 207.01; New York County; New York,White,69800
Census Tract 207.01; Richmond County; New York,Black,59452
Census Tract 207.02; Richmond County; New York,Hispanic,32070
Census Tract 207; Kings County; New York,White,175833
Census Tract 208.03; Richmond County; New York,White,117218
Census Tract 208.04; Richmond County; New York,White,91379
Census Tract 208.05; Richmond County; New York,White,115825
Census Tract 208.06; Richmond County; New York,White,90478
Census Tract 208; Kings County; New York,Asian,62723
Census Tract 208; New York County; New York,Black,92132
Census Tract 208; Queens County; New York,Hispanic,70417
Census Tract 209.01; New York County; New York,Hispanic,22743
Census Tract 209; Bronx County; New York,Hispanic,44769
Census Tract 20; Kings County; New York,Hispanic,77969
Census Tract 20; New York County; New York,Hispanic,26031
Census Tract 20; Queens County; New York,Hispanic,87833
Census Tract 210.01; Bronx County; New York,Black,46269
Census Tract 210.02; Bronx County; New York,Hispanic,71397
Census Tract 210; Kings County; New York,Asian,64250
Census Tract 210; New York County; New York,Black,40164
Census Tract 211; Bronx County; New York,Hispanic,42077
Census Tract 211; Kings County; New York,Black,87850
Census Tract 211; New York County; New York,White,75954
Census Tract 212; Bronx County; New York,Asian,66329
Census Tract 212; Kings County; New York,Asian,62519
Census Tract 212; New York County; New York,Black,77230
Census Tract 212; Queens County; New York,Hispanic,60250
Census Tract 213.01; Bronx County; New York,Hispanic,34470
Census Tract 213.02; Bronx County; New York,Hispanic,23639
Census Tract 213.03; New York County; New York,Black,59413
Census Tract 213; Kings County; New York,Black,80275
Census Tract 213; Richmond County; New York,Hispanic,79938
Census Tract 214; Kings County; New York,White,78272
Census Tract 214; New York County; New York,Black,67083
Census Tract 214; Queens County; New York,Asian,64643
Census Tract 215.01; Bronx County; New York,Hispanic,39756
Census Tract 215.02; Bronx County; New York,Hispanic,19904
Census Tract 215; Kings County; New York,White,109130
Census Tract 215; New York County; New York,Black,67206
Census Tract 216.01; Bronx County; New York,Hispanic,45156
Census Tract 216.01; Queens County; New York,White,99630
Census Tract 216.02; Bronx County; New York,Asian,60286
Census Tract 216.02; Queens County; New York,Hispanic,69178
Census Tract 216; Kings County; New York,White,37267
Census Tract 216; New York County; New York,Black,59784
Census Tract 217.03; New York County; New York,White,NA
Census Tract 217; Bronx County; New York,Hispanic,40394
Census Tract 217; Kings County; New York,White,88828
Census Tract 218; Bronx County; New York,Hispanic,55804
Census Tract 218; Kings County; New York,White,66169
Census Tract 218; New York County; New York,Black,42500
Census Tract 219; Bronx County; New York,Hispanic,45906
Census Tract 219; Kings County; New York,Black,114750
Census Tract 219; New York County; New York,Hispanic,22207
Census Tract 21; Kings County; New York,White,250001
Census Tract 21; New York County; New York,White,250001
Census Tract 21; Richmond County; New York,Hispanic,47926
Census Tract 22.01; New York County; New York,Hispanic,35700
Census Tract 22.02; New York County; New York,White,121389
Census Tract 220.01; Queens County; New York,Hispanic,84375
Census Tract 220.02; Queens County; New York,White,103207
Census Tract 220; Bronx County; New York,Hispanic,32174
Census Tract 220; Kings County; New York,White,44716
Census Tract 220; New York County; New York,Black,89756
Census Tract 221.01; Bronx County; New York,Hispanic,55078
Census Tract 221.02; Bronx County; New York,Hispanic,50051
Census Tract 221.02; New York County; New York,Black,92375
Census Tract 221; Kings County; New York,Black,63636
Census Tract 222; Bronx County; New York,Hispanic,52734
Census Tract 222; Kings County; New York,White,48594
Census Tract 222; New York County; New York,Black,56705
Census Tract 223.01; New York County; New York,Hispanic,53900
Census Tract 223.02; New York County; New York,Hispanic,34167
Census Tract 223; Bronx County; New York,Hispanic,33646
Census Tract 223; Richmond County; New York,Hispanic,59129
Census Tract 224.01; Bronx County; New York,Hispanic,63571
Census Tract 224.03; Bronx County; New York,Hispanic,88534
Census Tract 224.04; Bronx County; New York,Hispanic,66121
Census Tract 224; Kings County; New York,White,57457
Census Tract 224; New York County; New York,Black,30667
Census Tract 225; Bronx County; New York,Hispanic,52834
Census Tract 225; New York County; New York,Hispanic,62782
Census Tract 226.01; Richmond County; New York,White,117903
Census Tract 226.02; Richmond County; New York,White,NA
Census Tract 226; Kings County; New York,White,79022
Census Tract 226; New York County; New York,Black,58596
Census Tract 227.01; Bronx County; New York,Hispanic,31500
Census Tract 227.02; Bronx County; New York,Hispanic,27165
Census Tract 227.03; Bronx County; New York,Hispanic,75489
Census Tract 227; Kings County; New York,White,122400
Census Tract 227; New York County; New York,Black,61570
Census Tract 228.01; Richmond County; New York,White,NA
Census Tract 228; Bronx County; New York,Hispanic,86549
Census Tract 228; Kings County; New York,White,40089
Census Tract 228; New York County; New York,Black,85050
Census Tract 229.01; Bronx County; New York,Hispanic,50023
Census Tract 229.02; Bronx County; New York,Hispanic,51964
Census Tract 229; Kings County; New York,White,121997
Census Tract 229; New York County; New York,Hispanic,58924
Census Tract 22; Kings County; New York,Hispanic,40708
Census Tract 22; Queens County; New York,Hispanic,78018
Census Tract 230; Bronx County; New York,Hispanic,55625
Census Tract 230; Kings County; New York,White,53208
Census Tract 230; New York County; New York,Black,34890
Census Tract 230; Queens County; New York,Asian,108646
Census Tract 231; Bronx County; New York,Black,55179
Census Tract 231; Kings County; New York,White,150288
Census Tract 231; New York County; New York,Hispanic,64594
Census Tract 231; Richmond County; New York,Hispanic,87837
Census Tract 232; Bronx County; New York,Hispanic,55288
Census Tract 232; Kings County; New York,White,62973
Census Tract 232; New York County; New York,Black,35438
Census Tract 232; Queens County; New York,Asian,82600
Census Tract 233.01; Bronx County; New York,Hispanic,31887
Census Tract 233.02; Bronx County; New York,Hispanic,52092
Census Tract 233; Kings County; New York,White,80000
Census Tract 233; New York County; New York,Hispanic,86769
Census Tract 234; Kings County; New York,White,31411
Census Tract 234; New York County; New York,Black,71250
Census Tract 235.01; Bronx County; New York,Hispanic,39419
Census Tract 235.01; New York County; New York,Hispanic,77222
Census Tract 235.01; Queens County; New York,Hispanic,57340
Census Tract 235.02; Bronx County; New York,Hispanic,49286
Census Tract 235.02; New York County; New York,Black,42267
Census Tract 235.02; Queens County; New York,Hispanic,72000
Census Tract 235; Kings County; New York,White,65417
Census Tract 236; Bronx County; New York,Hispanic,73152
Census Tract 236; Kings County; New York,White,36524
Census Tract 236; New York County; New York,Black,41941
Census Tract 236; Queens County; New York,Asian,68750
Census Tract 237.02; Bronx County; New York,Hispanic,53304
Census Tract 237.03; Bronx County; New York,Hispanic,21551
Census Tract 237.04; Bronx County; New York,Hispanic,34875
Census Tract 237; New York County; New York,Hispanic,47333
Census Tract 238.02; New York County; New York,White,103068
Census Tract 238.03; New York County; New York,White,77070
Census Tract 238.04; New York County; New York,White,180677
Census Tract 238; Bronx County; New York,Hispanic,72198
Census Tract 238; Kings County; New York,White,40335
Census Tract 238; Queens County; New York,Hispanic,68024
Census Tract 239; Bronx County; New York,Hispanic,46927
Census Tract 239; New York County; New York,Hispanic,45036
Census Tract 239; Richmond County; New York,Hispanic,87438
Census Tract 23; Bronx County; New York,Hispanic,19743
Census Tract 23; Kings County; New York,Black,21841
Census Tract 240; Bronx County; New York,Hispanic,76250
Census Tract 240; Kings County; New York,White,43371
Census Tract 240; New York County; New York,Black,NA
Census Tract 240; Queens County; New York,Hispanic,63667
Census Tract 241; Bronx County; New York,Hispanic,45425
Census Tract 241; Kings County; New York,White,76528
Census Tract 241; New York County; New York,Hispanic,59054
Census Tract 242; Kings County; New York,White,56250
Census Tract 242; New York County; New York,Hispanic,31691
Census Tract 243.01; New York County; New York,Hispanic,72576
Census Tract 243.02; New York County; New York,Hispanic,26301
Census Tract 243; Bronx County; New York,Hispanic,29747
Census Tract 243; Kings County; New York,Black,94107
Census Tract 243; Queens County; New York,Hispanic,64162
Census Tract 244.01; Richmond County; New York,White,123626
Census Tract 244.02; Richmond County; New York,White,129904
Census Tract 244; Bronx County; New York,Hispanic,58603
Census Tract 244; Kings County; New York,White,58342
Census Tract 245.01; Bronx County; New York,Hispanic,43504
Census Tract 245.02; Bronx County; New York,Hispanic,33333
Census Tract 245; Kings County; New York,Black,100547
Census Tract 245; New York County; New York,Hispanic,51190
Census Tract 245; Queens County; New York,White,61439
Census Tract 246; Bronx County; New York,Hispanic,86932
Census Tract 246; Kings County; New York,White,76652
Census Tract 247; Bronx County; New York,Black,50993
Census Tract 247; Kings County; New York,Black,63200
Census Tract 247; New York County; New York,Hispanic,42446
Census Tract 247; Queens County; New York,Asian,59811
Census Tract 247; Richmond County; New York,White,81679
Census Tract 248; Bronx County; New York,White,64961
Census Tract 248; Kings County; New York,White,61466
Census Tract 248; Richmond County; New York,White,131146
Census Tract 249; Kings County; New York,White,85871
Census Tract 249; New York County; New York,Hispanic,87917
Census Tract 249; Queens County; New York,Asian,70676
Census Tract 24; New York County; New York,Hispanic,17922
Census Tract 24; Queens County; New York,Hispanic,61042
Census Tract 250; Bronx County; New York,White,98700
Census Tract 250; Kings County; New York,Asian,51875
Census Tract 251; Bronx County; New York,Hispanic,44845
Census Tract 251; Kings County; New York,Black,56111
Census Tract 251; New York County; New York,Hispanic,35647
Census Tract 251; Queens County; New York,Hispanic,96032
Census Tract 251; Richmond County; New York,White,120156
Census Tract 252; Bronx County; New York,Hispanic,85192
Census Tract 252; Kings County; New York,White,54750
Census Tract 253.01; Queens County; New York,Hispanic,65667
Census Tract 253.02; Queens County; New York,Hispanic,77188
Census Tract 253; Bronx County; New York,Hispanic,49906
Census Tract 253; Kings County; New York,White,87981
Census Tract 253; New York County; New York,Hispanic,67045
Census Tract 254.01; Queens County; New York,Black,92121
Census Tract 254.02; Queens County; New York,Black,40068
Census Tract 254; Bronx County; New York,White,78500
Census Tract 254; Kings County; New York,Asian,83637
Census Tract 255; Bronx County; New York,Hispanic,39231
Census Tract 255; Kings County; New York,Hispanic,22291
Census Tract 255; New York County; New York,Hispanic,64761
Census Tract 255; Queens County; New York,Asian,92426
Census Tract 256; Bronx County; New York,Hispanic,51053
Census Tract 256; Kings County; New York,Asian,69181
Census Tract 257; Bronx County; New York,Hispanic,57241
Census Tract 257; Kings County; New York,Hispanic,106579
Census Tract 257; New York County; New York,Black,85952
Census Tract 257; Queens County; New York,Asian,81806
Census Tract 258; Kings County; New York,Asian,57431
Census Tract 258; Queens County; New York,Black,91471
Census Tract 259.01; Kings County; New York,White,75341
Census Tract 259.02; Kings County; New York,Black,21674
Census Tract 259; New York County; New York,Black,76047
Census Tract 259; Queens County; New York,Asian,71750
Census Tract 25; Bronx County; New York,Hispanic,27378
Census Tract 25; New York County; New York,Asian,21949
Census Tract 25; Queens County; New York,Hispanic,21667
Census Tract 26.01; New York County; New York,Hispanic,35625
Census Tract 26.02; New York County; New York,White,71907
Census Tract 260; Kings County; New York,Asian,61118
Census Tract 260; Queens County; New York,Black,68892
Census Tract 261; Bronx County; New York,Black,61552
Census Tract 261; Kings County; New York,Black,81827
Census Tract 261; New York County; New York,Hispanic,49248
Census Tract 261; Queens County; New York,Hispanic,63750
Census Tract 262; Kings County; New York,Asian,107760
Census Tract 262; Queens County; New York,Black,77200
Census Tract 263; Bronx County; New York,Hispanic,37361
Census Tract 263; Kings County; New York,Black,77546
Census Tract 263; New York County; New York,Hispanic,56754
Census Tract 263; Queens County; New York,Asian,82481
Census Tract 264; Bronx County; New York,Hispanic,70463
Census Tract 264; Kings County; New York,White,73029
Census Tract 264; Queens County; New York,Black,72083
Census Tract 265.01; Queens County; New York,Asian,51359
Census Tract 265.02; Queens County; New York,Hispanic,108720
Census Tract 265; Bronx County; New York,Hispanic,57900
Census Tract 265; Kings County; New York,Black,77545
Census Tract 265; New York County; New York,Hispanic,98086
Census Tract 266.01; Bronx County; New York,Hispanic,47778
Census Tract 266.02; Bronx County; New York,Hispanic,46069
Census Tract 266; Kings County; New York,Asian,51724
Census Tract 266; Queens County; New York,Black,26875
Census Tract 267.01; Bronx County; New York,Hispanic,49167
Census Tract 267.02; Bronx County; New York,Hispanic,65500
Census Tract 267; Kings County; New York,Black,121771
Census Tract 267; New York County; New York,White,61667
Census Tract 267; Queens County; New York,Asian,50316
Census Tract 268; Kings County; New York,White,80500
Census Tract 269.01; Queens County; New York,Hispanic,61488
Census Tract 269.02; Queens County; New York,Asian,55298
Census Tract 269; Bronx County; New York,Hispanic,27374
Census Tract 269; Kings County; New York,White,89573
Census Tract 269; New York County; New York,Hispanic,65743
Census Tract 26; Queens County; New York,Hispanic,123281
Census Tract 27.01; Bronx County; New York,Hispanic,21427
Census Tract 27.02; Bronx County; New York,Hispanic,29206
Census Tract 270; Kings County; New York,White,43269
Census Tract 270; Queens County; New York,Black,111139
Census Tract 271.01; Queens County; New York,Asian,58906
Census Tract 271.02; Queens County; New York,Hispanic,71031
Census Tract 271; Kings County; New York,Black,96016
Census Tract 271; New York County; New York,Hispanic,81890
Census Tract 272; Kings County; New York,White,64286
Census Tract 272; Queens County; New York,Black,83816
Census Tract 273.01; Queens County; New York,Hispanic,63110
Census Tract 273.01; Richmond County; New York,White,110625
Census Tract 273.02; Queens County; New York,Hispanic,52404
Census Tract 273.02; Richmond County; New York,White,95579
Census Tract 273; Bronx County; New York,Hispanic,54396
Census Tract 273; Kings County; New York,Black,95735
Census Tract 273; New York County; New York,White,118346
Census Tract 274.01; Bronx County; New York,White,89925
Census Tract 274.02; Bronx County; New York,White,101142
Census Tract 274; Kings County; New York,Asian,51738
Census Tract 274; Queens County; New York,Black,63267
Census Tract 275; Kings County; New York,Black,85466
Census Tract 275; New York County; New York,White,165000
Census Tract 275; Queens County; New York,Hispanic,54986
Census Tract 276; Bronx County; New York,Black,NA
Census Tract 276; Kings County; New York,Asian,60652
Census Tract 276; Queens County; New York,Black,95893
Census Tract 277.01; Queens County; New York,Hispanic,61257
Census Tract 277.02; Queens County; New York,Hispanic,75702
Census Tract 277.02; Richmond County; New York,White,70772
Census Tract 277.04; Richmond County; New York,White,100479
Census Tract 277.05; Richmond County; New York,White,98324
Census Tract 277.06; Richmond County; New York,White,73750
Census Tract 277; Bronx County; New York,Hispanic,29939
Census Tract 277; Kings County; New York,Black,67926
Census Tract 277; New York County; New York,Hispanic,37681
Census Tract 278; Kings County; New York,Asian,66113
Census Tract 278; Queens County; New York,Black,48889
Census Tract 279; Bronx County; New York,Hispanic,57129
Census Tract 279; Kings County; New York,Black,65433
Census Tract 279; New York County; New York,Hispanic,57671
Census Tract 279; Queens County; New York,Hispanic,81165
Census Tract 279; Richmond County; New York,White,141250
Census Tract 27; New York County; New York,Asian,134583
Census Tract 27; Richmond County; New York,Hispanic,33203
Census Tract 280; Kings County; New York,Asian,84076
Census Tract 280; Queens County; New York,Black,70465
Census Tract 281; Bronx County; New York,Hispanic,67917
Census Tract 281; Kings County; New York,Black,43176
Census Tract 281; New York County; New York,White,112969
Census Tract 281; Queens County; New York,Hispanic,71832
Census Tract 282; Kings County; New York,White,51646
Census Tract 282; Queens County; New York,Black,66071
Census Tract 283; Bronx County; New York,Hispanic,NA
Census Tract 283; Kings County; New York,Black,43254
Census Tract 283; New York County; New York,Hispanic,67417
Census Tract 283; Queens County; New York,Hispanic,76747
Census Tract 284; Bronx County; New York,White,NA
Census Tract 284; Kings County; New York,Asian,58373
Census Tract 284; Queens County; New York,Black,103664
Census Tract 285.01; Kings County; New York,White,55192
Census Tract 285.02; Kings County; New York,Black,34659
Census Tract 285; Bronx County; New York,Hispanic,70543
Census Tract 285; New York County; New York,Hispanic,47148
Census Tract 285; Queens County; New York,White,101250
Census Tract 286; Bronx County; New York,White,87917
Census Tract 286; Kings County; New York,White,45918
Census Tract 287; Bronx County; New York,Hispanic,68370
Census Tract 287; Kings County; New York,Black,58247
Census Tract 287; New York County; New York,Hispanic,77648
Census Tract 287; Queens County; New York,Hispanic,74543
Census Tract 288.01; Queens County; New York,Black,94821
Census Tract 288.02; Queens County; New York,Black,84835
Census Tract 288; Bronx County; New York,White,86757
Census Tract 288; Kings County; New York,Asian,58000
Census Tract 289; Bronx County; New York,Hispanic,53138
Census Tract 289; Kings County; New York,Black,42456
Census Tract 289; Queens County; New York,White,75547
Census Tract 28; Bronx County; New York,Black,64308
Census Tract 28; New York County; New York,Hispanic,52305
Census Tract 28; Queens County; New York,Hispanic,87899
Census Tract 29.01; Kings County; New York,Black,22943
Census Tract 29.01; New York County; New York,White,11406
Census Tract 29.02; New York County; New York,Asian,NA
Census Tract 290; Kings County; New York,White,55545
Census Tract 291.02; Richmond County; New York,White,99458
Census Tract 291.04; Richmond County; New York,White,107292
Census Tract 291.05; Richmond County; New York,White,111276
Census Tract 291.06; Richmond County; New York,White,118211
Census Tract 291; Kings County; New York,Black,101719
Census Tract 291; New York County; New York,Hispanic,55231
Census Tract 291; Queens County; New York,Asian,63740
Census Tract 292; Kings County; New York,White,45708
Census Tract 293.01; Bronx County; New York,White,137917
Census Tract 293.02; Bronx County; New York,White,121250
Census Tract 293; Kings County; New York,Black,52361
Census Tract 293; New York County; New York,Hispanic,43866
Census Tract 293; Queens County; New York,Asian,70452
Census Tract 294; Kings County; New York,White,82784
Census Tract 294; Queens County; New York,Black,100044
Census Tract 295; Bronx County; New York,White,95435
Census Tract 295; Kings County; New York,Black,100750
Census Tract 295; New York County; New York,Hispanic,78209
Census Tract 295; Queens County; New York,White,84972
Census Tract 296; Bronx County; New York,Hispanic,55486
Census Tract 296; Kings County; New York,White,58407
Census Tract 297; Bronx County; New York,White,97132
Census Tract 297; Kings County; New York,Black,86225
Census Tract 297; New York County; New York,Hispanic,NA
Census Tract 297; Queens County; New York,Hispanic,98125
Census Tract 298; Kings County; New York,White,55214
Census Tract 299; Kings County; New York,Black,66989
Census Tract 299; New York County; New York,Hispanic,29038
Census Tract 29; Richmond County; New York,Black,55339
Census Tract 2; Bronx County; New York,Hispanic,115064
Census Tract 2; Kings County; New York,Hispanic,78942
Census Tract 2; Queens County; New York,Hispanic,72200
Census Tract 3.01; Kings County; New York,White,193158
Census Tract 30.01; New York County; New York,White,90222
Census Tract 30.02; New York County; New York,White,68382
Census Tract 300; Bronx County; New York,Hispanic,90307
Census Tract 300; Kings County; New York,Asian,52279
Census Tract 301; Bronx County; New York,White,81351
Census Tract 301; Kings County; New York,Black,110938
Census Tract 302.01; Bronx County; New York,Black,68948
Census Tract 302.02; Bronx County; New York,Black,59107
Census Tract 302; Kings County; New York,Asian,83068
Census Tract 303.01; Richmond County; New York,White,111700
Census Tract 303.02; Richmond County; New York,White,98535
Census Tract 303; Kings County; New York,Black,35679
Census Tract 303; New York County; New York,Hispanic,85114
Census Tract 304; Kings County; New York,Asian,53693
Census Tract 305; Kings County; New York,White,127313
Census Tract 306; Kings County; New York,Asian,55278
Census Tract 306; Queens County; New York,Black,93537
Census Tract 307.01; Bronx County; New York,White,134700
Census Tract 307; Kings County; New York,Black,42902
Census Tract 307; New York County; New York,White,113510
Census Tract 308; Kings County; New York,White,64545
Census Tract 309.03; Queens County; New York,Hispanic,80385
Census Tract 309.04; Queens County; New York,Asian,55406
Census Tract 309.05; Queens County; New York,Asian,93125
Census Tract 309.06; Queens County; New York,Asian,79075
Census Tract 309; Bronx County; New York,White,116417
Census Tract 309; Kings County; New York,Black,67969
Census Tract 309; New York County; New York,Hispanic,44498
Census Tract 30; Kings County; New York,White,122861
Census Tract 30; Queens County; New York,Hispanic,84750
Census Tract 31.01; Kings County; New York,White,173466
Census Tract 310; Bronx County; New York,Hispanic,121617
Census Tract 311; Kings County; New York,Black,82726
Census Tract 312; Bronx County; New York,Hispanic,118529
Census Tract 313; Kings County; New York,Black,98828
Census Tract 314.01; Kings County; New York,White,81643
Census Tract 314; Bronx County; New York,Hispanic,115368
Census Tract 315; Kings County; New York,Black,88200
Census Tract 316; Bronx County; New York,Hispanic,97202
Census Tract 317.01; Kings County; New York,Black,104056
Census Tract 317.02; Kings County; New York,White,107106
Census Tract 317.03; New York County; New York,White,250001
Census Tract 317.04; New York County; New York,White,233346
Census Tract 317; Queens County; New York,White,71822
Census Tract 318; Bronx County; New York,Hispanic,91625
Census Tract 319.01; Richmond County; New York,Black,45942
Census Tract 319.02; Richmond County; New York,Black,75057
Census Tract 319; Bronx County; New York,White,NA
Census Tract 319; Kings County; New York,White,89468
Census Tract 31; Bronx County; New York,Hispanic,41370
Census Tract 31; New York County; New York,White,190769
Census Tract 31; Queens County; New York,Hispanic,95556
Census Tract 320; Queens County; New York,Black,93692
Census Tract 321; Kings County; New York,Black,73949
Census Tract 323; Bronx County; New York,White,96678
Census Tract 323; Kings County; New York,Black,72353
Census Tract 323; Richmond County; New York,Black,88558
Census Tract 324; Bronx County; New York,Hispanic,40239
Census Tract 325; Kings County; New York,Black,86282
Census Tract 326; Bronx County; New York,White,104870
Census Tract 326; Kings County; New York,Hispanic,37183
Census Tract 327; Kings County; New York,Black,68611
Census Tract 327; Queens County; New York,Hispanic,60398
Census Tract 328; Bronx County; New York,Hispanic,46648
Census Tract 328; Kings County; New York,Asian,45603
Census Tract 328; Queens County; New York,Black,92500
Census Tract 329; Kings County; New York,Black,92769
Census Tract 329; Queens County; New York,Hispanic,55529
Census Tract 32; New York County; New York,White,88070
Census Tract 32; Queens County; New York,Hispanic,113462
Census Tract 33.01; Queens County; New York,White,154420
Census Tract 33.02; Queens County; New York,Hispanic,53417
Census Tract 330; Bronx County; New York,Hispanic,44785
Census Tract 330; Kings County; New York,Black,20329
Census Tract 330; Queens County; New York,Black,96357
Census Tract 331; Kings County; New York,Black,48306
Census Tract 332.01; Bronx County; New York,Hispanic,37898
Census Tract 332.02; Bronx County; New York,Hispanic,42114
Census Tract 333; Kings County; New York,White,74115
Census Tract 334.01; Queens County; New York,Black,67331
Census Tract 334.03; Queens County; New York,Black,51520
Census Tract 334.04; Queens County; New York,Black,34237
Census Tract 334.05; Queens County; New York,Black,77161
Census Tract 334; Bronx County; New York,Black,NA
Census Tract 335; Bronx County; New York,White,107054
Census Tract 335; Kings County; New York,White,80833
Census Tract 336.01; Bronx County; New York,Hispanic,27674
Census Tract 336.02; Bronx County; New York,Hispanic,58947
Census Tract 336; Kings County; New York,White,83833
Census Tract 337.01; Kings County; New York,White,61456
Census Tract 337.02; Kings County; New York,White,74318
Census Tract 337; Bronx County; New York,White,144886
Census Tract 337; Queens County; New York,Hispanic,98832
Census Tract 338.01; Bronx County; New York,Hispanic,68330
Census Tract 338.02; Bronx County; New York,Hispanic,69960
Census Tract 339; Kings County; New York,Black,44947
Census Tract 339; Queens County; New York,Hispanic,61627
Census Tract 33; Bronx County; New York,Hispanic,24122
Census Tract 33; Kings County; New York,White,125778
Census Tract 33; New York County; New York,White,250001
Census Tract 33; Richmond County; New York,White,103542
Census Tract 340; Bronx County; New York,Hispanic,64727
Census Tract 340; Kings County; New York,White,30194
Census Tract 341; Kings County; New York,Black,81116
Census Tract 342; Bronx County; New York,Black,67809
Census Tract 342; Kings County; New York,Black,20706
Census Tract 343; Bronx County; New York,Hispanic,87950
Census Tract 343; Kings County; New York,Black,25083
Census Tract 344; Bronx County; New York,Black,73438
Census Tract 345; Bronx County; New York,Hispanic,118583
Census Tract 345; Kings County; New York,Black,55774
Census Tract 347; Kings County; New York,Black,35992
Census Tract 347; Queens County; New York,Hispanic,71464
Census Tract 348; Bronx County; New York,Black,47593
Census Tract 348; Kings County; New York,Hispanic,57750
Census Tract 349.01; Kings County; New York,Black,50150
Census Tract 349.02; Kings County; New York,Black,47444
Census Tract 34; Kings County; New York,White,103971
Census Tract 34; New York County; New York,White,109148
Census Tract 34; Queens County; New York,Hispanic,79728
Census Tract 350; Bronx County; New York,Black,69178
Census Tract 350; Kings County; New York,White,50599
Census Tract 351.01; Kings County; New York,Black,42429
Census Tract 351.02; Kings County; New York,Black,41250
Census Tract 351; Bronx County; New York,Hispanic,110513
Census Tract 351; Queens County; New York,Hispanic,73536
Census Tract 352; Kings County; New York,White,12110
Census Tract 352; Queens County; New York,Black,105750
Census Tract 353.01; Kings County; New York,Black,39688
Census Tract 353.02; Kings County; New York,Black,94663
Census Tract 353; Queens County; New York,Hispanic,101607
Census Tract 354; Kings County; New York,White,56930
Census Tract 355; Kings County; New York,Black,54005
Census Tract 356.01; Kings County; New York,White,30450
Census Tract 356.02; Kings County; New York,White,57764
Census Tract 356; Bronx County; New York,Black,98523
Census Tract 357.01; Kings County; New York,Black,45296
Census Tract 357; Queens County; New York,Hispanic,84242
Census Tract 358; Bronx County; New York,Black,85804
Census Tract 358; Queens County; New York,Black,89570
Census Tract 359; Bronx County; New York,Hispanic,24823
Census Tract 359; Kings County; New York,Black,67264
Census Tract 35; Bronx County; New York,Hispanic,34185
Census Tract 35; Kings County; New York,White,142813
Census Tract 36.01; New York County; New York,Hispanic,55714
Census Tract 36.02; New York County; New York,White,144464
Census Tract 360.01; Kings County; New York,White,28952
Census Tract 360.02; Kings County; New York,White,38047
Census Tract 360; Bronx County; New York,Black,96250
Census Tract 361; Bronx County; New York,Hispanic,24728
Census Tract 361; Kings County; New York,Black,21398
Census Tract 361; Queens County; New York,Hispanic,71433
Census Tract 362; Kings County; New York,White,51768
Census Tract 363; Bronx County; New York,Hispanic,26524
Census Tract 363; Kings County; New York,Black,34916
Census Tract 363; Queens County; New York,Hispanic,74148
Census Tract 364; Bronx County; New York,Black,62188
Census Tract 364; Kings County; New York,White,56682
Census Tract 365.01; Bronx County; New York,Black,41287
Census Tract 365.01; Kings County; New York,Black,64531
Census Tract 365.02; Bronx County; New York,Hispanic,31729
Census Tract 365.02; Kings County; New York,Hispanic,47279
Census Tract 365; Queens County; New York,Hispanic,67625
Census Tract 366; Kings County; New York,White,48075
